Unique Identifier,Connector Name
pinterest_ads,Pinterest Ads
pipedrive,Pipedrive
plaid,Plaid
pokapi,PokAPI
postgres,Postgres
postgres_rds,Postgres RDS
postgresql,PostgreSQL
posthog,PostHog
prestashop,PrestaShop
presto,Presto
qualtrics,Qualtrics
quickbooks,QuickBooks
recharge,Recharge
recurly,Recurly
redis,Redis
redshift,Redshift
rest_api_source,Rest API Source
revcontent,Revcontent
s3,S3
sage_intacct,Sage Intacct
sailthru,Sailthru
salesforce,Salesforce
salesforce_audience,Salesforce Audience
salesforce_commerce_cloud,Salesforce Commerce Cloud
salesforce_for_looker,Salesforce for Looker
salesforce_for_looker_sandbox,Salesforce for Looker Sandbox
salesforce_marketing_cloud,Salesforce Marketing Cloud
salesforce_pardot,Salesforce Pardot
salesforce_sandbox,Salesforce sandbox
salesforce_service_cloud,Salesforce Service Cloud
sap_business_bydesign,SAP Business ByDesign
sap_business_one,SAP Business One
sap_business_warehouse_open_hub,SAP Business Warehouse Open Hub
sap_business_warehouse_via_mdx,SAP Business Warehouse via MDX
sap_cloud_for_customer_(c4c),SAP Cloud for Customer (C4C)
sap_concur,SAP Concur
sap_ecc,SAP ECC
sap_hana,SAP HANA
sap_s/4hana,SAP S/4HANA
sap_table,SAP Table
search_ads_360,Search Ads 360
segment,Segment
sendgrid,Sendgrid
sensor_tower,sensor Tower
servicenow,ServiceNow
sftp,SFTP
shareasale,ShareASale
sharepoint,SharePoint
sharepoint_online_list,SharePoint Online List
shiphero,ShipHero
shopify,Shopify
shortio,Shortio
simple_postgres,Simple Postgres
sitescout,Sitescout
slack,Slack
smartsheets,Smartsheets
snapchat_ads,Snapchat Ads
snapchat_marketing,Snapchat Marketing
snowflake,Snowflake
snowplow,Snowplow
social_studio,Social Studio
socialbakers,Socialbakers
spark,Spark
splunk,Splunk
spotx,SpotX
spree_commerce,Spree Commerce
sprinklr,Sprinklr
sql_server,SQL Server
sql_server_rds,SQL Server RDS
square,Square
stackadapt,StackAdapt
streamrail,Streamrail
stripe,Stripe
stripe_test_mode,Stripe test mode
sugar_crm,Sugar CRM
surveygizmo,SurveyGizmo
surveymonkey,SurveyMonkey
sybase,Sybase
taboola,Taboola
